id,nhom_hang,stt,ten,xuat_xu,quy_cach,dvt,don_gia,anh
405,Dao Kéo,6,Dao trổ to Deli 2043- Núm tròn,Đài Loan,3 lưỡi,chiếc,42000,dao-keo_0405.webp
406,Dao Kéo,7,Lưỡi dao trổ bé SDI-1403,Đài Loan,10 lưỡi/hộp,hộp,8000,dao-keo_0406.webp
407,Dao Kéo,8,Lưỡi dao trổ to SDI-1404,Đài Loan,10 lưỡi/hộp,hộp,11000,dao-keo_0407.webp
408,Dao Kéo,9,Lưỡi dao trổ bé Deli SK5- Đầu nhọn 360,Đài Loan,10 lưỡi/hộp,hộp,24000,dao-keo_0408.webp
409,Dao Kéo,10,Lưỡi dao trổ bé SK5 Deli 2012,Đài Loan,10 lưỡi/hộp,hộp,11500,dao-keo_0409.webp
410,Dao Kéo,11,Lưỡi dao dọc giấy to SK5 Deli 2011,Đài Loan,10 lưỡi/hộp,hộp,26000,dao-keo_0410.webp
411,Dao Kéo,1,Kéo 809,Trung Quốc,210mm,chiếc,16000,dao-keo_0411.webp
412,Dao Kéo,2,Kéo cán đen S008,Trung Quốc,170mm,chiếc,16000,dao-keo_0412.webp
413,Dao Kéo,3,Kéo cán đen S100,Trung Quốc,215mm,chiếc,19000,dao-keo_0413.webp
414,Dao Kéo,4,Kéo Deli 6009,Trung Quốc,180mm,chiếc,25000,dao-keo_0414.webp
415,Dao Kéo,5,Kéo Deli 6001,Trung Quốc,190mm,chiếc,45000,dao-keo_0415.webp
416,Dao Kéo,6,Kéo Deli 6010,Trung Quốc,210mm,chiếc,41000,dao-keo_0416.webp
417,Dao Kéo,7,Kéo Plus SC-175S,Nhật,180mm,chiếc,52000,dao-keo_0417.webp
418,"Kẹp giấy, thẻ",1,Kẹp giấy màu đen 15mm (12 chiếc/hộp),Việt nam,12c/hộp,hộp,5000,kep-giay-the_0418.webp
419,"Kẹp giấy, thẻ",2,Kẹp giấy màu đen 19mm(12 chiếc/hộp),Việt nam,12c/hộp,hộp,6500,kep-giay-the_0419.webp
420,"Kẹp giấy, thẻ",3,Kẹp giấy màu đen 25mm (12 chiếc/hộp),Việt nam,12c/hộp,hộp,8500,
421,"Kẹp giấy, thẻ",4,Kẹp giấy màu đen 32mm(12 chiếc /hộp),Việt nam,12c/hộp,hộp,12500,
422,"Kẹp giấy, thẻ",5,Kẹp giấy màu đen 41mm (12chiếc/hộp),Việt nam,12c/hộp,hộp,19000,kep-giay-the_0422.webp
423,"Kẹp giấy, thẻ",6,Kẹp giấy màu đen 51mm (12 chiếc/hộp),Việt nam,12c/hộp,hộp,28500,kep-giay-the_0423.webp
424,"Kẹp giấy, thẻ",1,Thẻ tên cài SAKURA ngang có kim măng,Trung Quốc,40x60mm,chiếc,1500,kep-giay-the_0424.webp
425,"Kẹp giấy, thẻ",2,Mặt thẻ nhựaTL07 dọc ( Miết đầu)- 60x100mm,Trung Quốc,60x100mm,chiếc,1800,kep-giay-the_0425.webp
426,"Kẹp giấy, thẻ",3,Mặt thẻ nhựa TL108 ngang( Miết đầu)- 60x100mm,Trung Quốc,60x100mm,chiếc,1800,kep-giay-the_0426.webp
427,"Kẹp giấy, thẻ",4,Mặt thẻ nhựa cỡ 75x110mm TL 207- dọc,Trung Quốc,75x100mm,chiếc,2200,kep-giay-the_0427.webp
428,"Kẹp giấy, thẻ",5,Mặt thẻ nhựa cỡ 80x135mm TL 208- Ngang,Trung Quốc,80x135mm,chiếc,2200,kep-giay-the_0428.webp
429,"Kẹp giấy, thẻ",6,Mặt thẻ dọc to nhựa 304 (100x135mm),Trung Quốc,100x135mm,chiếc,3000,kep-giay-the_0429.webp
430,"Kẹp giấy, thẻ",7,Mặt thẻ da cỡ 60x100mm( ngang- dọc),Trung Quốc,60x100mm,chiếc,3000,kep-giay-the_0430.webp
431,"Kẹp giấy, thẻ",8,Dây đeo thẻ các màu lụa dây trơn 1F móc nhựa,Trung Quốc,các màu,chiếc,1700,kep-giay-the_0431.webp
432,"Kẹp giấy, thẻ",9,Dây đeo thẻ các màu lụa dây trơn 1F móc sắt,Trung Quốc,các màu,chiếc,2500,
433,"Pin,Máy tính",1,Máy tính Casio MX 120B- Chính hãng( BH 2 năm),Trung Quốc,12 số,chiếc,250000,pin-may-tinh_0433.webp
434,"Pin,Máy tính",2,Máy tính CASIO 12 số MX-12B- Chính hãng( BH 2 năm),Trung Quốc,12 số,chiếc,210000,pin-may-tinh_0434.webp
435,"Pin,Máy tính",3,Máy tính CASIO 12 số AX-120B- Chính hãng( BH 2 năm),Trung Quốc,12 số,chiếc,320000,pin-may-tinh_0435.webp
436,"Pin,Máy tính",4,Máy tính CASIO 12 số AX-12B- Chính hãng( BH 2 năm),Trung Quốc,12 số,chiếc,280000,pin-may-tinh_0436.webp
437,"Pin,Máy tính",5,Máy tính CASIO 12 số JF- 120 BM- Chính hãng ( BH 2 năm),Trung Quốc,12 số,chiếc,370000,pin-may-tinh_0437.webp
438,"Pin,Máy tính",6,Máy tính CASIO 12 số DC- 120M- Chính hãng( BH 2 năm),Trung Quốc,12 số,chiếc,385000,pin-may-tinh_0438.webp
439,"Pin,Máy tính",7,Máy tính FX 570 ES Plus- Chính hãng( BH 2 năm),Trung Quốc,12 số,chiếc,500000,pin-may-tinh_0439.webp
440,"Pin,Máy tính",8,Máy tính FX 570 VN Plus- Chính hãng( BH 2 năm),Trung Quốc,12 số,chiếc,650000,pin-may-tinh_0440.webp
441,"Pin,Máy tính",9,Máy Tính Casio 12 số JS 20B- Chính hãng( BH 2 năm),Trung Quốc,12 số,chiếc,700000,pin-may-tinh_0441.webp
442,"Pin,Máy tính",10,Máy Tính Casio 14 số JS 40B- Chính hãng( BH 2 năm),Trung Quốc,14 số,chiếc,850000,pin-may-tinh_0442.webp
443,"Pin,Máy tính",1,Pin Evo Zinc AA Double A (vỉ 4 viên),839,,,16000,pin-may-tinh_0443.webp
444,"Pin,Máy tính",2,Pin Evo Zinc AAA Double A (vỉ 4 viên),839,,,16000,pin-may-tinh_0444.webp
445,"Pin,Máy tính",3,Pin con Thỏ R6P ( tiểu- đũa),Việt nam,đũa/tiểu,Viên,2000,pin-may-tinh_0445.webp
446,"Pin,Máy tính",4,Pin đũa Panasonic 3A R03NT,Nhật,đũa,Viên,4000,pin-may-tinh_0446.webp
447,"Pin,Máy tính",5,Pin tiểu panasonic 2A- ALKALINE( Hãng),Nhật,Tiểu,đôi,35000,pin-may-tinh_0447.webp
448,"Pin,Máy tính",6,Pin đũa panasonic 3A-ALKALINE( Hãng),Nhật,đũa,đôi,35000,
449,"Sổ, vở",1,Sổ đựng 180 card PU,Đài Loan,3 ngăn,quyển,45000,so-vo_0449.webp
450,"Sổ, vở",2,Sổ đựng 300 card PU,Đài Loan,3 ngăn,quyển,60000,so-vo_0450.webp
451,"Sổ, vở",3,Sổ đựng 480 card PU,Đài Loan,8 ngăn,quyển,100000,
452,"Sổ, vở",4,Sổ đựng 600 card PU,Đài Loan,12 ngăn,quyển,160000,so-vo_0452.webp
453,"Sổ, vở",5,Hộp đựng card 4400- 400 Card,Đài Loan,-,Hộp,120000,so-vo_0453.webp
454,"Sổ, vở",1,Sổ Hải tiến Busininess B2-120 trang,Việt nam,KT: 70x100,quyển,5500,so-vo_0454.webp
455,"Sổ, vở",2,Sổ Hải tiến Busininess B3-160 trang,Việt nam,KT: 100x150,quyển,13000,
456,"Sổ, vở",4,Sổ Hải tiến Busininess B4-160 trang,Việt nam,KT: 100x170,quyển,13500,so-vo_0456.webp
457,"Sổ, vở",8,Sổ Hải tiến Busininess B5-160 trang,Việt nam,KT: 135x195,quyển,20000,
458,"Sổ, vở",9,Sổ Hải tiến Busininess B6-160 trang,Việt nam,KT: 150x210,quyển,22500,
459,"Sổ, vở",10,Sổ Hải tiến Busininess B7-160 trang,Việt nam,KT: 160x220,quyển,24000,so-vo_0459.webp
460,"Sổ, vở",11,Sổ Hải tiến Busininess B8-160 trang,Việt nam,KT: 175x250,quyển,29000,
461,"Sổ, vở",12,Sổ Hải tiến Busininess B9-160 trang,Việt nam,KT: 195x270,quyển,35000,
462,"Sổ, vở",13,Sổ Hải tiến Business B6-240trang,Việt nam,KT: 150x210,quyển,28000,
463,"Sổ, vở",14,Sổ Hải tiến Business B7-240trang,Việt nam,KT: 160x220,quyển,29500,so-vo_0463.webp
464,"Sổ, vở",15,Sổ Hải tiến Busininess B8-240 trang,Việt nam,KT: 175x250,quyển,35000,
465,"Sổ, vở",16,Sổ Hải tiến Busininess B9-240 trang,Việt nam,KT: 195x270,quyển,44000,
466,"Sổ, vở",17,Sổ Hải tiến Busininess BA4-160 trang,Việt nam,KT: 210x300,quyển,42000,so-vo_0466.webp
467,"Sổ, vở",18,Sổ Hải tiến Busininess BA4-240 trang,Việt nam,KT: 210x300,quyển,52500,so-vo_0467.webp
468,"Sổ, vở",19,Sổ Hải tiến Busininess BA4-400 trang,Việt nam,KT: 210x300,quyển,75500,
469,"Sổ, vở",20,Sổ Hải tiến Busininess KB6-160 trang có khuy bấm,Việt nam,KT: 150x210,quyển,26000,
470,"Sổ, vở",21,Sổ Hải tiến Busininess KB6-240 trang có khuy bấm,Việt nam,KT: 150x210,quyển,32500,
471,"Sổ, vở",22,Sổ Hải tiến Busininess KB8-160 trang có khuy bấm,Việt nam,KT: 175x250,quyển,32500,so-vo_0471.webp
472,"Sổ, vở",23,Sổ Hải tiến Busininess KB8-240 trang có khuy bấm,Việt nam,KT: 175x250,quyển,40000,so-vo_0472.webp
473,"Sổ, vở",1,Sổ Bìa da Classic C4- 160 trang,Việt nam,KT: 100x170,quyển,17000,
474,"Sổ, vở",2,Sổ Bìa da Classic C4 - 240 trang,Việt nam,KT: 100x170,quyển,20000,so-vo_0474.webp
475,"Sổ, vở",3,Sổ Bìa da Classic C6- 160 trang,Việt nam,KT: 150x210,quyển,26000,so-vo_0475.webp
476,"Sổ, vở",4,Sổ Bìa da Classic C6- 240 trang,Việt nam,KT: 150x210,quyển,32000,
477,"Sổ, vở",5,Sổ Bìa da Classic KC6 - 240 trang khuy bấm,Việt nam,KT: 150x210,quyển,35000,
478,"Sổ, vở",6,Sổ bìa da Classic C8- 160 trang,Việt nam,KT: 175x250,quyển,34000,
479,"Sổ, vở",7,Sổ bìa da Classic C8- 240 trang,s,KT: 175x250,quyển,41000,
480,"Sổ, vở",8,Sổ bìa da Classic KC8- 160 trang khuy bấm,Việt nam,KT: 175x250,quyển,37000,so-vo_0480.webp
481,"Sổ, vở",9,Sổ bìa da Classic KC8- 240 trang khuy bấm,Việt nam,KT: 175x250,quyển,44500,
482,"Sổ, vở",1,Sổ da 6 còng Heeton A25-823,Đài Loan,KT: 175x250,quyển,120000,
483,"Sổ, vở",2,Sổ bìa da A5 có khuy Heeton A25-833,Đài Loan,KT: 150x210,quyển,55000,
484,"Sổ, vở",3,Sổ bìa da A5 có khuy Heeton A25-906,Đài Loan,KT: 150x210,quyển,79500,
485,"Sổ, vở",4,Sổ bìa da A5 có khuy Heeton A25-828,Đài Loan,KT: 150x210,quyển,82000,
486,"Sổ, vở",1,Sổ A5 bìa bóng 200 trang bằng đầu- Hải tiến,Việt Nam,KT:155x220,quyển,18000,
487,"Sổ, vở",2,Sổ A5 bìa bóng 200 trang Thừa đầu- Hải tiến,Việt Nam,KT:155x220,quyển,18000,
488,"Sổ, vở",3,Sổ B5 bìa bóng 160 trang bằng đầu- Hải tiến,Việt Nam,KT:175x250,quyển,18000,so-vo_0488.webp
489,"Sổ, vở",4,Sổ B5 bìa bóng 160 trang thừa đầu- Hải tiến,Việt Nam,KT:175x250,quyển,21000,
490,"Sổ, vở",5,Sổ B5 bìa bóng 240 trang bằng đầu- Hải tiến,Việt Nam,KT:175x250,quyển,23500,
491,"Sổ, vở",6,Sổ B5 bìa bóng 240 trang thừa đầu- Hải tiến,Việt Nam,KT:175x250,quyển,26000,
492,"Sổ, vở",7,Sổ A4 bìa cứng bằng đầu 160 trang- Hải tiến,Việt nam,KT:210x300,quyển,28000,
493,"Sổ, vở",8,Sổ A4 bìa cứng thừa đầu 160 trang- Hải tiến,Việt nam,KT:210x300,quyển,33000,
494,"Sổ, vở",9,Sổ A4 bìa bóng bằng đầu 240 trang- Hải tiến,Việt nam,KT:210x300,quyển,37000,
495,"Sổ, vở",10,Sổ A4 bìa bóng thừa đầu 240 trang- Hải tiến,Việt nam,KT:210x300,quyển,41500,
496,"Sổ, vở",11,Sổ A4 bìa bóng bằng đầu 320 trang- Hải tiến,Việt nam,KT:210x300,quyển,46000,
497,"Sổ, vở",12,Sổ B4 bìa bóng bằng đầu 160 trang- Hải tiến,Việt nam,KT:250x350,quyển,38000,
498,"Sổ, vở",13,Sổ B4 bìa bóng thừa đầu 160 trang- Hải tiến,Việt nam,KT:250x350,quyển,43500,
499,"Sổ, vở",14,Sổ B4 bìa bóng bằng đầu 240 trang- Hải tiến,Việt nam,KT:250x350,quyển,50000,so-vo_0499.webp
500,"Sổ, vở",15,Sổ B4 bìa bóng thừa đầu 240 trang- Hải tiến,Việt nam,KT:250x350,quyển,55000,
501,"Sổ, vở",1,Sổ công văn đi 160 trang- Hải tiến,Việt nam,KT:210x300,quyển,30000,so-vo_0501.webp
502,"Sổ, vở",2,Sổ công văn đến 160 trang- Hải tiến,Việt nam,KT:210x300,quyển,30000,
503,"Sổ, vở",1,Sổ kế toán tổng hợp A4 200 trang - Hải Tiến,Việt nam,(KT: 210x297),quyển,20500,
504,"Sổ, vở",2,Sổ kế toán tổng hợp A4 260 trang - Hải Tiến,Việt nam,(KT: 210x297),quyển,26000,
505,"Sổ, vở",3,Sổ kế toán tổng hợp A4 300 trang- Hải tiến,Việt nam,(KT: 210x297),quyển,30000,
506,"Sổ, vở",1,Sổ lò xo A7 kép dày (200 trang)- Hải tiến,Việt nam,A7,quyển,8000,so-vo_0506.webp
507,"Sổ, vở",2,Sổ lò xo A6 kép mỏng(100 trang)- Hải tiến,Việt nam,A6,quyển,7000,so-vo_0507.webp
508,"Sổ, vở",3,Sổ lò xo A6 kép dày (200 trang)- Hải tiến,Việt nam,A6,quyển,10500,
509,"Sổ, vở",4,Sổ lò xo A5 mỏng( 100 trang)- Hải tiến,Việt nam,A5,quyển,13000,
510,"Sổ, vở",5,Sổ lò xo A5 kép dày (200 trang)- Hải tiến,Việt nam,A5,quyển,18000,
511,"Sổ, vở",6,Sổ lò xo B5 mỏng( 100 trang)- Hải tiến,Việt nam,B5,quyển,17000,
512,"Sổ, vở",7,Sổ lò xo B5 dày( 200 trang)- Hải tiến,Việt nam,B5,quyển,26500,so-vo_0512.webp
513,"Sổ, vở",8,Sổ lò xo A4 Kép mỏng (100 trang)- Hải tiến,Việt nam,A4,quyển,21000,
514,"Sổ, vở",9,Sổ lò xo A4 Kép dày ( 200 trang)- Hải tiến,Việt nam,A4,quyển,33000,
515,"Sổ, vở",10,Sổ lò xo Viva A6 200 trang 6713 Hải Tiến,Việt nam,A6,quyển,14000,
516,"Sổ, vở",1,Vở kẻ ngang 72 hải tiến (X- H- T- Đ),Việt nam,kẻ ngang,quyển,8000,so-vo_0516.webp
517,"Sổ, vở",2,Vở kẻ ngang 120 hải tiến( X-H-T-Đ),Việt nam,kẻ ngang,quyển,10000,
518,"Sổ, vở",1,Vở kẻ ngang 200 hải tiến Newway,Việt nam,kẻ ngang,quyển,20000,
519,Chứng từ KT,1,Sổ quỹ tiền mặt dày,Việt nam,BTC,quyển,7500,chung-tu-kt_0519.webp
520,Chứng từ KT,2,Giấy giới thiệu loại đẹp,Việt nam,BTC,quyển,8000,chung-tu-kt_0520.webp
521,Chứng từ KT,3,Hóa đơn bán lẻ nhỏ thường( giấy bãi bằng),Việt nam,BTC,quyển,5000,chung-tu-kt_0521.webp
522,Chứng từ KT,4,Phiếu chi nhỏ DN(Giấy BB),Việt nam,BTC,quyển,5000,chung-tu-kt_0522.webp
523,Chứng từ KT,5,Phiếu thu nhỏ DN(Giấy BB),Việt nam,BTC,quyển,5000,chung-tu-kt_0523.webp
524,Chứng từ KT,6,Phiếu nhập kho nhỏ,Việt nam,BTC,quyển,3000,chung-tu-kt_0524.webp
525,Chứng từ KT,7,Phiếu xuất kho nhỏ,Việt nam,BTC,quyển,3000,chung-tu-kt_0525.webp
526,Chứng từ KT,8,Phiếu nhập kho A4 Giấy bãi bằng,Việt nam,BTC,quyển,10000,chung-tu-kt_0526.webp
527,Chứng từ KT,9,Phiếu xuất kho A4 Giấy bãi bằng,Việt nam,BTC,quyển,10000,chung-tu-kt_0527.webp
528,Chứng từ KT,10,phiếu chi Cacbon ( 2 liên/ 3 liên)- 100 tờ,Việt Nam,BTC,quyển,15000,chung-tu-kt_0528.webp
529,Chứng từ KT,11,phiếu chi Cacbon ( 2 liên/ 3 liên)- 60 tờ,Việt nam,BTC,quyển,12000,chung-tu-kt_0529.webp
530,Chứng từ KT,12,phiếu thu Cacbon ( 2 liên/ 3 liên)- 100 tờ,Việt nam,BTC,quyển,15000,chung-tu-kt_0530.webp
531,Chứng từ KT,13,phiếu thu Cacbon ( 2 liên/ 3 liên)- 60 tờ,Việt nam,BTC,quyển,12000,chung-tu-kt_0531.webp
532,Chứng từ KT,14,Phiếu xuất kho nhỏ Cacbon ( 2 liên/ 3 liên)- 100 tờ,Việt nam,BTC,quyển,15000,
533,Chứng từ KT,15,Phiếu xuất kho nhỏ Cacbon ( 2 liên/ 3 liên)- 60 tờ,Việt nam,BTC,quyển,12000,chung-tu-kt_0533.webp
534,Chứng từ KT,16,Phiếu nhập kho nhỏ Cacbon ( 2 liên/ 3 liên)- 100 tờ,Việt nam,BTC,quyển,15000,
535,Chứng từ KT,17,Phiếu nhập kho nhỏ Cacbon ( 2 liên/ 3 liên)- 60 tờ,Việt nam,BTC,quyển,12000,
536,Chứng từ KT,18,Phiếu xuất kho to cacbon ( 2 liên/ 3 liên)- 100 tờ,Việt nam,BTC,quyển,28000,
537,Chứng từ KT,19,Phiếu xuất kho to cacbon ( 2 liên/ 3 liên)- 60 tờ,Việt nam,BTC,quyển,24000,chung-tu-kt_0537.webp
538,Chứng từ KT,20,Phiếu nhập kho to cacbon ( 2 liên/3 liên)- 100 tờ,Việt nam,BTC,quyển,28000,
539,Chứng từ KT,21,Phiếu nhập kho to cacbon ( 2 liên/3 liên)- 60 tờ,Việt nam,BTC,quyển,24000,
540,Chứng từ KT,22,Hoá đơn bán lẻ nhỏ cacbon ( 2 liên/ 3 liên)- 100 tờ,Việt nam,BTC,quyển,15000,chung-tu-kt_0540.webp
541,Chứng từ KT,23,Hoá đơn bán lẻ nhỏ cacbon ( 2 liên/ 3 liên)- 60 tờ,Việt nam,BTC,quyển,12000,
542,Chứng từ KT,1,"Chun vòng kếp ( to, nhỏ)",Việt nam,loại tốt,túi,14000,chung-tu-kt_0542.webp
543,Chứng từ KT,2,Dây chun (Gói 100gr),Việt nam,loại tốt,túi,24000,chung-tu-kt_0543.webp
544,Chứng từ KT,3,Sáp đếm tiền,Việt nam,loại tốt,chiếc,6500,chung-tu-kt_0544.webp
545,Chứng từ KT,4,Mút đếm tiền,Việt nam,loại tốt,chiếc,6500,
546,Chứng từ KT,5,Bóng đếm tiền Deli 9109,Đài Loan,loại tốt,chiếc,26000,
547,"giá (bút,tài liệu)",1,Giá cắm bút HR 311 xoay,Việt nam,quay,chiếc,37000,gia-but-tai-lieu_0547.webp
548,"giá (bút,tài liệu)",2,Giá cắm bút Deli 904,Đài Loan,đứng,chiếc,47000,gia-but-tai-lieu_0548.webp
549,"giá (bút,tài liệu)",3,Giá cắm bút bằng sắt Deli 9172,Đài Loan,đứng,chiếc,37000,gia-but-tai-lieu_0549.webp
550,"giá (bút,tài liệu)",4,Giá cắm bút Deli 9133,Đài Loan,đứng,chiếc,57000,gia-but-tai-lieu_0550.webp
551,"giá (bút,tài liệu)",5,Khay đựng bút Deli 9154( bằng sắt),Đài Loan,đứng,chiếc,100000,gia-but-tai-lieu_0551.webp
552,"giá (bút,tài liệu)",6,Giá cắm bút gỗ 1019,Đài Loan,vuông,chiếc,150000,gia-but-tai-lieu_0552.webp
553,"giá (bút,tài liệu)",1,Khay mica 3 tầng HR,Trung Quốc,3tầng,chiếc,130000,gia-but-tai-lieu_0553.webp
554,"giá (bút,tài liệu)",2,Khay nhựa 3 tầng HR,Trung Quốc,3 tầng,chiếc,75000,gia-but-tai-lieu_0554.webp
555,"giá (bút,tài liệu)",3,TCT230 - Khay tài liệu 3 tầng,Đài Loan,3 tầng,chiếc,150000,gia-but-tai-lieu_0555.webp
556,"giá (bút,tài liệu)",4,Khay 3 tầng gỗ 5013,Đài Loan,3 tầng,chiếc,285000,gia-but-tai-lieu_0556.webp
557,"giá (bút,tài liệu)",5,Khay 3 tầng sắt Sunwood SW1206,Đài Loan,3 tầng,chiếc,220000,gia-but-tai-lieu_0557.webp
558,"giá (bút,tài liệu)",6,Khay 3 tầng sắt Comix 2163,Đài Loan,3 tầng,chiếc,250000,gia-but-tai-lieu_0558.webp
559,"giá (bút,tài liệu)",7,Khay 3 tầng sắt Deli 9181,Đài Loan,3 tầng,chiếc,300000,gia-but-tai-lieu_0559.webp
560,"Đục lỗ, Dập số",1,Đục lỗ Deli 105 (15 tờ),Đài Loan,15 tờ,chiếc,85000,duc-lo-dap-so_0560.webp
561,"Đục lỗ, Dập số",2,Đục lỗ KWtrio 978(30 tờ),Đài Loan,30 tờ,chiếc,110000,duc-lo-dap-so_0561.webp
562,"Đục lỗ, Dập số",3,Đục lỗ Deli 104 ( 35 tờ),Đài Loan,35 tờ,chiếc,145000,duc-lo-dap-so_0562.webp
563,"Đục lỗ, Dập số",4,Đục lỗ KW-trio 9670 ( 70 tờ),Đài Loan,70 tờ,chiếc,385000,duc-lo-dap-so_0563.webp
564,"Đục lỗ, Dập số",5,Đột lỗ Deli 130 ( 100 tờ),Đài Loan,100 tờ,chiếc,810000,duc-lo-dap-so_0564.webp
565,"Đục lỗ, Dập số",6,Đụclỗ KW-trio 938 (100 tờ),Đài Loan,100 tờ,chiếc,1100000,duc-lo-dap-so_0565.webp
566,"Đục lỗ, Dập số",7,Đục lỗ KW-trio 952 (150 tờ),Đài Loan,150 tờ,chiếc,1050000,
567,"Đục lỗ, Dập số",8,Đục lỗ KW-trio 933 (190 tờ),Đài Loan,190 tờ,chiếc,1820000,duc-lo-dap-so_0567.webp
568,"Đục lỗ, Dập số",9,Đục lỗ Deli 150 ( 150 tờ),Đài Loan,150 tờ,chiếc,1390000,
569,"Đục lỗ, Dập số",1,Dập số thứ tự tự động 6 số Deli 7506,Đài Loan,6 số,chiếc,260000,duc-lo-dap-so_0569.webp
570,"Đục lỗ, Dập số",2,Dập số thứ tự tự động 7 số Deli 7507,Đài Loan,7 số,chiếc,270000,
571,"Đục lỗ, Dập số",3,Dập số thứ tự tự động 8 số Deli 7508,Đài Loan,8 số,chiếc,365000,
572,"Đục lỗ, Dập số",4,Dập số thứ tự tự động 9 số Deli 7509,Đài Loan,9 số,chiếc,405000,
573,"Đục lỗ, Dập số",5,Dập số thứ tự tự động 10 số Deli 7510,Đài Loan,10 số,chiếc,435000,
574,Hàng tạp phẩm,1,Nước lau nhà Sunlight 1kg(997ml),Việt nam,997ml,Chai,35000,hang-tap-pham_0574.webp
575,Hàng tạp phẩm,3,Nước lau sàn sunlight 1kg(997ml)-Quế,Việt nam,997ml,Chai,45000,hang-tap-pham_0575.webp
576,Hàng tạp phẩm,2,Nước rửa chén Sunlight 750ml,Việt nam,750ml,Chai,27000,hang-tap-pham_0576.webp
577,Hàng tạp phẩm,3,Nước tẩy vệ sinh bồn cầu Vim 900ml,Việt nam,900ml,Chai,40000,hang-tap-pham_0577.webp
578,Hàng tạp phẩm,4,Xà phòng bánh Life boy 90g,Việt nam,90g,Hộp,14000,hang-tap-pham_0578.webp
579,Hàng tạp phẩm,5,Nước rửa tay Life boy 180g(173ml),Việt nam,173ml,Chai,35000,hang-tap-pham_0579.webp
580,Hàng tạp phẩm,6,Nước rửa tay Life boy 500g(493ml),Việt nam,493ml,Chai,75000,hang-tap-pham_0580.webp
581,Hàng tạp phẩm,9,Nước rửa tay lifeboy 3.8 kg,Việt nam,3.8 kg/ can,Can,315000,hang-tap-pham_0581.webp
582,Hàng tạp phẩm,7,Nước xịt kính Cif 520ml,Việt nam,520ml,Chai,28000,hang-tap-pham_0582.webp
583,Hàng tạp phẩm,8,Tẩy cift to 690ml,Việt nam,690ml,Chai,33000,hang-tap-pham_0583.webp
584,Hàng tạp phẩm,10,Nước lau sàn Sunlight can 3.6 Lít,Việt nam,3.6 lít / can,Can,95000,hang-tap-pham_0584.webp
585,Hàng tạp phẩm,11,Nước rửa chén Sunligt 3.8 kg/can,Việt nam,3.8 kg/ can,Can,105000,hang-tap-pham_0585.webp
586,Hàng tạp phẩm,12,Sáp thơm Oasis,Thái,180g,Chai,55000,hang-tap-pham_0586.webp
587,Hàng tạp phẩm,13,Sáp thơm Ami,Việt nam,220g,Chai,50000,hang-tap-pham_0587.webp
588,Hàng tạp phẩm,14,Bình xịt côn trùng ARS 600ml( có mùi),Việt nam,600ml,Chai,65000,hang-tap-pham_0588.webp
589,Hàng tạp phẩm,15,Bình xịt côn trùng PRO X 500ml( ko mùi),Việt nam,500ml,Chai,70000,hang-tap-pham_0589.webp
590,Hàng tạp phẩm,16,Bộ chổi lau nhà 360 độ Sunhouse,Việt nam,3 món,Bộ,340000,hang-tap-pham_0590.webp
591,Hàng tạp phẩm,17,Chổi chít quét nhà,Việt nam,Chiếc,Chiếc,45000,hang-tap-pham_0591.webp
592,Hàng tạp phẩm,18,Chổi nhựa quét nước,Việt nam,Chiếc,Chiếc,38000,hang-tap-pham_0592.webp
593,Hàng tạp phẩm,19,Chổi cọ bồn cầu,Việt nam,Chiếc,Chiếc,25000,hang-tap-pham_0593.webp
594,Hàng tạp phẩm,20,Thùng rác 15L,Việt nam,15L,Chiếc,260000,hang-tap-pham_0594.webp
595,Hàng tạp phẩm,21,Thùng rác 10L,Việt nam,10L,Chiếc,230000,hang-tap-pham_0595.webp
596,Hàng tạp phẩm,22,Sọt rác HIRO 10L,Việt nam,10L,chiếc,70000,
597,Hàng tạp phẩm,23,Băng cá nhân Urgo,Việt nam,Hộp,Hộp,50000,hang-tap-pham_0597.webp
598,Hàng tạp phẩm,24,Khẩu trang,Việt nam,Hộp,Hộp,55000,hang-tap-pham_0598.webp
599,Hàng tạp phẩm,24,Găng tay cao su,Việt nam,Hộp,Hộp,150000,hang-tap-pham_0599.webp
600,Hàng tạp phẩm,25,Bộ lau sàn Công Nghiệp,Việt nam,Bộ 3 món,Bộ,210000,
601,Hàng tạp phẩm,26,Cốc giấy 180ml,1124,,bịch,35000,
602,Hàng tạp phẩm,27,Hót rác cán dài,Việt nam,chiếc,chiếc,45000,
603,Hàng tạp phẩm,1,Túi nilon trắng- xanh M35 loại 10 kg,Việt nam,loại tốt,Kg,50000,hang-tap-pham_0603.webp
604,Hàng tạp phẩm,2,Túi nilon đen đựng đồ loại 5 kg- Loại 1,Việt nam,loại tốt,Kg,42000,
605,Hàng tạp phẩm,3,Túi nilon đen đựng đồ loại 10 kg- Loại 1,Việt nam,loại tốt,Kg,42000,
606,Hàng tạp phẩm,4,Túi nilon đen đựng đồ loại 15 kg- Loại 1,Việt nam,loại tốt,Kg,42000,
607,Hàng tạp phẩm,5,Túi nilon đen đựng đồ loại 20 kg- Loại 1,Việt nam,loại tốt,Kg,42000,
608,Hàng tạp phẩm,6,Túi nilon đen đựng đồ loại 25 kg- Loại 1,Việt nam,loại tốt,Kg,42000,hang-tap-pham_0608.webp
609,Hàng tạp phẩm,7,Túi nilon đen đựng đồ loại 30 kg- Loại 1,Việt nam,loại tốt,Kg,42000,hang-tap-pham_0609.webp
